,lemma_1,lemma_2,year,genre,source,text,clean_text
0,act,place,2019,MAG,Business Insider,"system shouldn't depend on luck, "" Charles wrote. "" The First Step Act is in place -- now it should be used to make real change and help","system shouldn't depend on luck, "" Charles wrote. "" The First Step Act is in place -- now it should be used to make real change and help"
1,act,place,2012,WEB,cbsnews.com,"the end of the article. Her argument is essentially that had the affordable care act been in place when Bain closed GST Steel, then the bad things that happened","the end of the article. Her argument is essentially that had the affordable care act been in place when Bain closed GST Steel, then the bad things that happened"
2,act,place,1996,NEWS,Denver,"repealed until 1943. # "" They felt they solved the problem once the Exclusion Act was in place, "" Wei said. # "" They felt the Chinese would","repealed until 1943. # "" They felt they solved the problem once the Exclusion Act was in place, "" Wei said. # "" They felt the Chinese would"
3,action,place,2012,BLOG,singleblackmale.org,the privilege they are afforded because its so ingrained into their everyday lives. Affirmative action is in place to try and level the playing field somewhat. Whenever the balance,the privilege they are afforded because its so ingrained into their everyday lives. Affirmative action is in place to try and level the playing field somewhat. Whenever the balance
4,action,place,2012,BLOG,...tynews.wordpress.com,"and the environmental engineers from the city of Cleveland and I was assured that corrective action was in place to correct that. "" Mr. Elkins was referring to the stormwater","and the environmental engineers from the city of Cleveland and I was assured that corrective action was in place to correct that. "" Mr. Elkins was referring to the stormwater"
5,action,place,2002,NEWS,SanFranChron,said. # He was admitted to UC Berkeley in the last year that affirmative action was in place and isn't ashamed to say he probably benefited from the use,said. # He was admitted to UC Berkeley in the last year that affirmative action was in place and isn't ashamed to say he probably benefited from the use
6,actor,place,2012,SPOK,ABC_20/20,""" What Would You Do? "" The cameras and microphones are hidden, the actors are in place, and everything's set for that look on your face that",""" What Would You Do? "" The cameras and microphones are hidden, the actors are in place, and everything's set for that look on your face that"
7,actor,place,2005,ACAD,RuralSpecEd,"retention of special education teachers for rural schools. The stage is set, the actors are in place, and the curtain is going up. We anxiously await the","retention of special education teachers for rural schools. The stage is set, the actors are in place, and the curtain is going up. We anxiously await the"
8,actor,location,2016,NEWS,Colorado Springs Gazette,"to flee in the middle of the night, never to return, when the actor was on location filming 1994's "" Dumb and Dumber. "" # The Stanley","to flee in the middle of the night, never to return, when the actor was on location filming 1994's "" Dumb and Dumber. "" # The Stanley"
9,action,neighborhood,2001,FIC,Bk:ShameDevil,"the clean, white-bread streets of upper Northwest's Ward 3. Most of his action was in neighborhoods like Trinidad, Petworth, LeDroit Park, and Columbia Heights.","the clean, white-bread streets of upper Northwest's Ward 3. Most of his action was in neighborhoods like Trinidad, Petworth, LeDroit Park, and Columbia Heights."
10,thought,food,1992,SPOK,ABC_Jennings,"s Charlie Murphy. CHARLES MURPHY: BOSTON ROAD SIGN If your thought 's on food or you want food for thought, check out The Traveler on Interstate 84 in","s Charlie Murphy. CHARLES MURPHY: BOSTON ROAD SIGN If your thought 's on food or you want food for thought, check out The Traveler on Interstate 84 in"
11,capital,water,1991,MAG,TIME,. Automatic gunfire was almost continuous around the presidential palace. Crowded hospitals in the capital were without water or food. Foreign embassy staffs took cover inside their locked compounds,. Automatic gunfire was almost continuous around the presidential palace. Crowded hospitals in the capital were without water or food. Foreign embassy staffs took cover inside their locked compounds
12,actor,speed,2005,FIC,Triquarterly,theater for the first time said it seemed as if all the actors were on speed and the director was a deranged maniac. People who were familiar with the theater,theater for the first time said it seemed as if all the actors were on speed and the director was a deranged maniac. People who were familiar with the theater
13,idea,thing,2012,WEB,tvweek.com,"to put it into words.... It is spectacle and experience, and its ideas are about things you can see or feel, not things you can say.","to put it into words.... It is spectacle and experience, and its ideas are about things you can see or feel, not things you can say."
14,idea,thing,2012,WEB,grist.org,too much emphasis was placed on exercise throughout the program and the only tangible policy ideas were for things like walking and bike paths. # Where are the policy solutions,too much emphasis was placed on exercise throughout the program and the only tangible policy ideas were for things like walking and bike paths. # Where are the policy solutions
15,relationship,thing,1994,ACAD,AfricaToday,"venerable role of Igbo priest and artist. # Achebe's initial exploration of this relationship is in Things Fall Apart where Chielo, the priestess is portrayed in her performance","venerable role of Igbo priest and artist. # Achebe's initial exploration of this relationship is in Things Fall Apart where Chielo, the priestess is portrayed in her performance"
